route_ordinal,stage_ordinal,stage_id,stage_title,stage_level,stage_where,stage_combo,quest_ordinal_in_stage,route_name,route_type,route_number,route_level,minimum_level,friend_reward,friend_experience,friend_geons,friend_contribution,friend_skill_points,reward_is_approximate,items_json,monsters_json,steps_json,legacy_type,legacy_id,legacy_name,legacy_match_method,bango_que_id,bango_name,bango_level,bango_experience,bango_contribution,bango_skill_points,bango_prerequisite,bango_steps_raw,match_method,match_score,match_candidates,level_disagrees,experience_disagrees,contribution_disagrees,skill_points_disagree,status,effective_level,effective_experience,effective_contribution,effective_skill_points
47,24,s2-9,Stage 9 — Seoung-Gill’s secret + Ghost Hunter masks,Lv 43,"Fort, with trips out of town.",,1,Quest 39,Quest,39,Lv 43,43,"~169,395 XP",169395,0,0,0,true,"[""39.png"",""39_1.png""]",[],"[{""type"":""talk"",""city"":""wild"",""pin"":""p10"",""label"":""Talk""},{""type"":""talk"",""city"":""fort"",""pin"":""64"",""label"":""Talk""},{""type"":""talk"",""city"":""wild"",""pin"":""p10"",""label"":""Talk again""},{""type"":""talk"",""city"":""wild"",""pin"":""m4"",""label"":""Find \""Secret Letter\"" + \""Head Skin of Yong-Chun\""""},{""type"":""talk"",""city"":""wild"",""pin"":""p10"",""label"":""Talk again""},{""type"":""talk"",""city"":""fort"",""pin"":""64"",""label"":""Turn in""},{""type"":""talk"",""city"":""wild"",""pin"":""p10"",""label"":""Final turn-in""}]",Quest,39,Yong-Chun killed by Assasin,route-number-to-legacy-name,45,Seoung-Gill Who is Wandering the World,43,338790,0,0,,"First, go to the villagers and say he's not the murderer, and meet the Yong-Chun's friend, Ma-Gill in Temporary Fort of Geum-Ohee Castle. But Ma-Gill believes that Seoung-Gill killed Yong-Chun.|;Ma-Gill didn't listen to you and he just yelled at you. Talk to Seoung-Gill about the situation.|;Seoung-Gill got disheartened as he couldn't clear his dishonor. But he let you know some pieces of information about the real murderer. The murderer must be around the South Beach of Guem-Ohee Castle.|357:1,358:1;You brought Yong-Chun's head skin and the secret letter to Seoung-Gill. Surprisingly the name of Ma-Gill is on the letter. Ma-Gill loved Yong-Chun's wife and finally he asked an assassin to kill Yong-Chun. Tell all these stories to Seung-Gill. And go back to Ma-Gill.|357:1,358:1;Ma-Gill decided to confess what he had done. Go back to Seung-Gill again and tell him about it.|;You brought Yong-Chun's head skin to Seoung-Gill. Show this to Ma-Gill in Temporary Fort of Geum-Ohee Castle.|;Ma-Gill found out who the real murderer was, and he apologized to Seung-Gill. Seung-Gill must want to hear about this news and will be delighted.|",registered-name-alias,1.000,,false,true,false,false,matched-disagrees,43,338790,0,0
48,24,s2-9,Stage 9 — Seoung-Gill’s secret + Ghost Hunter masks,Lv 43,"Fort, with trips out of town.",,2,Quest 40,Quest,40,Lv 43,43,"~282,326 XP",282326,0,0,0,true,[],"[""ms_m7_04.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Devil Troop Of Jealousy for 100x \""Devil Troop of Jealousy’s Mask\""""},{""type"":""talk"",""city"":""fort"",""pin"":""13"",""label"":""Turn in""}]",Quest,40,Masks of Jealousy,route-number-to-legacy-name,41,Eliminating Devil Troop of Jealousy,43,282326,0,0,,Bring 100 Devil Troop of Jealousy's Masks to Geun-Pyung in Temporary Fort of Geum-Ohee Castle. The Devil Troop of Jealousy is in the Forest of Statues.|348:100,registered-name-alias,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,43,282326,0,0
49,25,s2-10,Stage 10 — Hatred combo + Doggebi spirits,Lv 44,Out of town + Fort + Forsaken Fort.,"Quest 41 and Quest 42 both farm <b>Devil Troop Of Hatred</b> — do them together, one grind covers both.",1,Quest 41,Quest,41,Lv 44,44,"~203,850 XP",203850,0,0,0,true,"[""41.png""]","[""ms_m7_05.jpg""]","[{""type"":""talk"",""city"":""wild"",""pin"":""p8"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Devil Troop Of Hatred for \""Rope\""""},{""type"":""talk"",""city"":""wild"",""pin"":""p8"",""label"":""Turn in""}]",Quest,41,Rope,route-number-to-legacy-name,46,Escape of Hak-Goo,44,203850,0,0,,Devil Troop of Hatred took Hak-Goo's rope away. Help Hak-Goo out. He's so afraid.|359:1,registered-name-alias,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,44,203850,0,0
50,25,s2-10,Stage 10 — Hatred combo + Doggebi spirits,Lv 44,Out of town + Fort + Forsaken Fort.,"Quest 41 and Quest 42 both farm <b>Devil Troop Of Hatred</b> — do them together, one grind covers both.",2,Quest 42,Quest,42,Lv 44,44,"~339,750 XP",339750,0,0,0,true,[],"[""ms_m7_05.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""14"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Devil Troop Of Hatred for 100x \""Devil Troop of Hatred’s Mask\"" (same mob as Quest 41)""},{""type"":""talk"",""city"":""fort"",""pin"":""14"",""label"":""Turn in""}]",Quest,42,Masks of Hatred,route-number-to-legacy-name,42,Eliminating Devil Troop of Hatred,44,339750,0,0,,Bring 100 Devil Troop of Hatred's Masks to Dan-Joong in Temporary Fort of Geum-Ohee Castle. The Devil Troop of Hatred is in the Forest of Statues.|349:100,registered-name-alias,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,44,339750,0,0
51,25,s2-10,Stage 10 — Hatred combo + Doggebi spirits,Lv 44,Out of town + Fort + Forsaken Fort.,"Quest 41 and Quest 42 both farm <b>Devil Troop Of Hatred</b> — do them together, one grind covers both.",3,Event Quest 16,Event,16,Lv 44,44,"~169,875 XP",169875,0,0,0,true,"[""ev7.png""]",[],"[{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Talk""},{""type"":""action"",""text"":""Find one spirit of each: Doggebi of Monster Face, Doggebi with a Gong, Drunken Doggebi, Doggebi with a Mask of Black Crow, Doggebi with a Mask of Black Panther, Giant Doggebi, Guardian of Doggebi""},{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Turn in""}]",,,,no-confident-legacy-name,9008,[Event] Angry Doggebi Troop,44,373725,0,0,9007,"Jae-Ga tells you that the Doggebi Master needs your help. According to Jae-Ga, Doggebi Master won't harm you. He's at the Forsaken Fort which in the Forest of Statues. Meet the Master Doggebi.|;Master Doggebi tells that Doggebis are turned bad by the Angry Doggebi Troop. They must be purified. Take the Spirit of Doggebi of Monster Face, the Spirit of Doggebi with a Gong, Spirit of Drunken Doggebi, Spirit of Doggebi with a Mask of Black Crow, Spirit of Doggebi with a Mask of Black Panther, Spirit of Giant Doggebi, and Spirit of Guardian of Doggebi to the Master Doggebi.|449:1,450:1,451:1,452:1,453:1,454:1,455:1;For stopping the Angry Doggebi Troop's action, the chief of the Angry Doggebi Troop must be eliminated. The chief of Troop of Angry Doggebi give up the eternal life for obtaining the strong power. Bring his dead body to the Master Doggebi. He's near by the pavilion in the south  beach of the Forest of Statues.|456:1",registered-route-objective-to-bango-name,1.000,,false,true,false,false,matched-disagrees,44,373725,0,0
52,25,s2-10,Stage 10 — Hatred combo + Doggebi spirits,Lv 44,Out of town + Fort + Forsaken Fort.,"Quest 41 and Quest 42 both farm <b>Devil Troop Of Hatred</b> — do them together, one grind covers both.",4,Event Quest 17,Event,17,Lv 44,44,"1,358,165 XP",1358165,0,0,0,false,"[""ev8.png""]","[""ms_m8_07.jpg""]","[{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Talk""},{""type"":""talk"",""city"":""wild"",""pin"":""m8"",""label"":""Kill Chief of Angry Doggebi Troop for its dead body""},{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Turn in""}]",,,,no-confident-legacy-name,9008,[Event] Angry Doggebi Troop,44,373725,0,0,9007,"Jae-Ga tells you that the Doggebi Master needs your help. According to Jae-Ga, Doggebi Master won't harm you. He's at the Forsaken Fort which in the Forest of Statues. Meet the Master Doggebi.|;Master Doggebi tells that Doggebis are turned bad by the Angry Doggebi Troop. They must be purified. Take the Spirit of Doggebi of Monster Face, the Spirit of Doggebi with a Gong, Spirit of Drunken Doggebi, Spirit of Doggebi with a Mask of Black Crow, Spirit of Doggebi with a Mask of Black Panther, Spirit of Giant Doggebi, and Spirit of Guardian of Doggebi to the Master Doggebi.|449:1,450:1,451:1,452:1,453:1,454:1,455:1;For stopping the Angry Doggebi Troop's action, the chief of the Angry Doggebi Troop must be eliminated. The chief of Troop of Angry Doggebi give up the eternal life for obtaining the strong power. Bring his dead body to the Master Doggebi. He's near by the pavilion in the south  beach of the Forest of Statues.|456:1",registered-route-objective-to-bango-name,1.000,,false,true,false,false,matched-disagrees,44,373725,0,0
53,26,s2-11,Stage 11 — Doll for a Doggebi friend + last mask,Lv 45,Out of town + Fort.,,1,Quest 43,Quest,43,Lv 45,45,"~245,225 XP",245225,0,0,0,true,"[""43.png""]","[""ms_m7_07.jpg""]","[{""type"":""talk"",""city"":""wild"",""pin"":""p9"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Devil Troop Of Anger for \""Defective Doggebi’s Doll\""""},{""type"":""talk"",""city"":""wild"",""pin"":""p9"",""label"":""Report""},{""type"":""talk"",""city"":""fort"",""pin"":""41"",""label"":""Talk""},{""type"":""talk"",""city"":""wild"",""pin"":""p9"",""label"":""Turn in""}]",Quest,43,Broken Doll of Doggebi,route-number-to-legacy-name,44,A Favor of the Doggebi Who Wants To Be a Friend with Humans,45,245225,0,0,,The Doggebi said that the Devil Troop of Anger took the doll away. Please take the doll back from Devil Troop of Anger and bring it to the Doggebi.|355:1;The Doggebi is so sad that the doll is broken. Meet the doll craftsman of Gill-Jun for the Doggebi. He may fix the doll.|355:1;The doll fixed by Gill-Jun now looks good. The Doggebi will like it. Give the doll back to the Doggebi.|356:1,registered-name-alias,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,45,245225,0,0
54,26,s2-11,Stage 11 — Doll for a Doggebi friend + last mask,Lv 45,Out of town + Fort.,,2,Quest 44,Quest,44,Lv 45,45,"~408,708 XP",408708,0,0,0,true,[],"[""ms_m7_06.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""15"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Devil Troop Of Madness for 100x \""Devil Troop of Madness’ Mask\""""},{""type"":""talk"",""city"":""fort"",""pin"":""15"",""label"":""Turn in""}]",Quest,44,Masks of Madness,route-number-to-legacy-name,43,Eliminating Devil Troop of Madness,45,408708,0,0,,Bring 100 Devil Troop of Madness's Masks to Choi-Choong in Temporary Fort of Geum-Ohee Castle. The Devil Troop of Madness is in the Forest of Statues.|350:100,registered-name-alias,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,45,408708,0,0
55,27,s2-12,Stage 12 — Doggebi broom collection,Lv 46-49,"Out of town only, four NPCs in a row.","Quests 45-49 (this stage and the next guide) all need <b>5 ""Blood of Big Handed""</b> on top of their unique drop — stockpile that material once, it covers the whole chain.",1,Quest 45,Quest,45,Lv 46,46,"~491,510 XP, 1 Contribution Point",491510,0,1,0,true,"[""45.png"",""45-1.png""]","[""ms_m8_01.jpg""]","[{""type"":""talk"",""city"":""wildcargo"",""pin"":""p2"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Doggebi Of Monster Face for its broom + 5x Blood of Big Handed""},{""type"":""talk"",""city"":""wildcargo"",""pin"":""p2"",""label"":""Turn in""}]",Quest,45,Limpers' Favor,route-number-to-legacy-name,47,The Limper's Favor,46,491510,1,0,,"Hunt the Doggebi with Monster Face and get the Broom and 5 bottles of Blood of Big Handed. And then, bring them to the Limper.|387:5,389:1",name-content-and-level,0.594,,false,false,false,false,matched-agrees-on-parsed-fields,46,491510,1,0
56,27,s2-12,Stage 12 — Doggebi broom collection,Lv 46-49,"Out of town only, four NPCs in a row.","Quests 45-49 (this stage and the next guide) all need <b>5 ""Blood of Big Handed""</b> on top of their unique drop — stockpile that material once, it covers the whole chain.",2,Quest 46,Quest,46,Lv 47,47,"~590,926 XP, 1 Contribution Point",590926,0,1,0,true,"[""45.png"",""45-1.png""]","[""ms_m8_02.jpg""]","[{""type"":""talk"",""city"":""wildcargo"",""pin"":""p3"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Doggebi with Gong for its broom + 5x Blood of Big Handed""},{""type"":""talk"",""city"":""wildcargo"",""pin"":""p3"",""label"":""Turn in""}]",Quest,46,Blind Man's Favor,route-number-to-legacy-name,48,The Blind Man's Favor,47,590926,1,0,,"Hunt the Doggebi with a Gong and collect the Broom and 5 bottles of Blood of Big Handed. And then, bring them to the blind man.|387:5,390:1",name-content-and-level,0.857,,false,false,false,false,matched-agrees-on-parsed-fields,47,590926,1,0
57,27,s2-12,Stage 12 — Doggebi broom collection,Lv 46-49,"Out of town only, four NPCs in a row.","Quests 45-49 (this stage and the next guide) all need <b>5 ""Blood of Big Handed""</b> on top of their unique drop — stockpile that material once, it covers the whole chain.",3,Quest 47,Quest,47,Lv 48,48,"~710,280 XP, 1 Contribution Point",710280,0,1,0,true,"[""45.png"",""45-1.png""]","[""ms_m8_03.jpg""]","[{""type"":""talk"",""city"":""wildcargo"",""pin"":""p4"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Drunken Doggebi for its broom + 5x Blood of Big Handed""},{""type"":""talk"",""city"":""wildcargo"",""pin"":""p4"",""label"":""Turn in""}]",Quest,47,Coward's Favor,route-number-to-legacy-name,49,The Coward,48,710280,1,0,,"Hunt the Drunken Doggebi and collect the Broom and 5 bottles of Blood of Big Handed. And then, give them to the coward.|387:5,391:1",name-content-and-level,0.595,,false,false,false,false,matched-agrees-on-parsed-fields,48,710280,1,0
58,27,s2-12,Stage 12 — Doggebi broom collection,Lv 46-49,"Out of town only, four NPCs in a row.","Quests 45-49 (this stage and the next guide) all need <b>5 ""Blood of Big Handed""</b> on top of their unique drop — stockpile that material once, it covers the whole chain.",4,Quest 48,Quest,48,Lv 49,49,"~853,562 XP, 1 Contribution Point",853562,0,1,0,true,"[""45.png"",""45-1.png""]","[""ms_m8_04.jpg""]","[{""type"":""talk"",""city"":""wildcargo"",""pin"":""p6"",""label"":""Talk""},{""type"":""action"",""text"":""Kill Doggebi with Mask of Black Crow for its broom + 5x Blood of Big Handed""},{""type"":""talk"",""city"":""wildcargo"",""pin"":""p6"",""label"":""Turn in""}]",Quest,48,Hunchback's Favor,route-number-to-legacy-name,50,The Hunchback's Favor,49,853562,1,0,,"Hunt the Doggebi with a Mask of Black Crow and collect the Broom and 5 bottles of Blood of Big Handed. And then, give them to the hunchback.|387:5,392:1",name-content-and-level,0.876,,false,false,false,false,matched-agrees-on-parsed-fields,49,853562,1,0
59,28,s3-1,Stage 1 — Lv 50 kickoff: 2nd Job Change + Doggebi grind,Lv 50,"Out of town, then the Fort — big milestone stage.",Event Quest 20 is your <b>2nd Job Change</b> — do it the moment you hit 50. Event Quest 21/22 both farm Doggebi outside the Fort near D1 — chain them together.,1,Quest 49,Quest,49,Lv 50,50,"~1,025,563 XP, 1 Contribution Point",1025563,0,1,0,true,"[""45.png"",""45-1.png""]","[""ms_m8_05.jpg""]","[{""type"":""talk"",""city"":""wildcargo"",""pin"":""p1"",""label"":""Talk""},{""type"":""action"",""text"":""Find \""Doggebi with Mask of Black Panther’s Broom\"" and 5x \""Blood of Big Handed\"" from Doggebi with Mask of Black Panther""},{""type"":""talk"",""city"":""wildcargo"",""pin"":""p1"",""label"":""Turn in""}]",Quest,49,Deaf-Man's Favor,route-number-to-legacy-name,51,The Deaf Man's Favor,50,1025563,1,0,,"Hunt the Doggebi with a Mask of Black Panther and collect the Broom and 5 bottles of Blood of Big Handed. And then, give them to the deaf man.|387:5,393:1",name-content-and-level,0.878,,false,false,false,false,matched-agrees-on-parsed-fields,50,1025563,1,0
60,28,s3-1,Stage 1 — Lv 50 kickoff: 2nd Job Change + Doggebi grind,Lv 50,"Out of town, then the Fort — big milestone stage.",Event Quest 20 is your <b>2nd Job Change</b> — do it the moment you hit 50. Event Quest 21/22 both farm Doggebi outside the Fort near D1 — chain them together.,2,Event Quest 20 — 2nd Job Change,Event,20,Lv 50,50,2nd Job Change,0,0,0,0,false,[],[],"[{""type"":""talk"",""city"":""fort"",""pin"":""20"",""label"":""Talk""},{""type"":""action"",""text"":""Pick your job — this choice is permanent, confirm twice""},{""type"":""talk"",""city"":""fort"",""pin"":""20"",""label"":""Talk again""}]",,,,no-confident-legacy-name,9009,[Event] New Government Position!,50,0,0,0,9008,Return to Jae-Ga and report your missions from the Master Doggebi. Jae-Ga will give you a new government position but you must be level 50 or above.|;You got the new government position and ready for a new journey. But you need a rest before that. Get ready for the next journey while you're resting. [Next Event : Lv 70]|;You got the new government position and ready for a new journey. But you need a rest before that. Get ready for the next journey while you're resting.|,registered-route-objective-to-bango-name,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,50,0,0,0
61,28,s3-1,Stage 1 — Lv 50 kickoff: 2nd Job Change + Doggebi grind,Lv 50,"Out of town, then the Fort — big milestone stage.",Event Quest 20 is your <b>2nd Job Change</b> — do it the moment you hit 50. Event Quest 21/22 both farm Doggebi outside the Fort near D1 — chain them together.,3,Event Quest 21,Event,21,Lv 50,50,"500,000 XP",500000,0,0,0,false,[],"[""ms_m8_06.jpg""]","[{""type"":""talk"",""city"":""wild"",""pin"":""p9"",""label"":""Talk""},{""type"":""action"",""text"":""Kill 50 Giant Doggebi""},{""type"":""talk"",""city"":""wild"",""pin"":""p9"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,50,500000,0,0
62,28,s3-1,Stage 1 — Lv 50 kickoff: 2nd Job Change + Doggebi grind,Lv 50,"Out of town, then the Fort — big milestone stage.",Event Quest 20 is your <b>2nd Job Change</b> — do it the moment you hit 50. Event Quest 21/22 both farm Doggebi outside the Fort near D1 — chain them together.,4,Event Quest 22,Event,22,Lv 50,50,"500,000 XP",500000,0,0,0,false,[],"[""ms_m8_07.jpg""]","[{""type"":""talk"",""city"":""wild"",""pin"":""p9"",""label"":""Talk""},{""type"":""action"",""text"":""Kill 50 Guardian of Doggebi, then kill \""Angry Doggebi of Monster Face\"" (spawns every 2h since last kill, near D1 / the hollow tree — only needs one kill) for \""Captured Doggebi\""""},{""type"":""talk"",""city"":""fort"",""pin"":""20"",""label"":""Talk""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,50,500000,0,0
63,29,s3-2,Stage 2 — Lv 51-52: One-armed Man + Forsaken Fort,Lv 51-52,"Out of town, then Forsaken Fort (out of town).","Event Quest 23, 24 and 25 are all the same NPC (Doggebi Master at Forsaken Fort) — farm every Doggebi spirit type back to back before turning any of them in.",1,Quest 50,Quest,50,Lv 51,51,"~1,232,024 XP, 1 Contribution Point",1232024,0,1,0,true,"[""45.png"",""45-1.png""]","[""ms_m8_06.jpg""]","[{""type"":""talk"",""city"":""wildcargo"",""pin"":""p13"",""label"":""Talk""},{""type"":""action"",""text"":""Find \""Giant Doggebi’s Broom\"" and 5x \""Blood of Big Handed\"" from Giant Doggebis""},{""type"":""talk"",""city"":""wildcargo"",""pin"":""p13"",""label"":""Turn in""}]",Quest,50,One-Armed Man's Favor,route-number-to-legacy-name,52,One-Armed Man's Favor,51,1232024,1,0,,"Hunt the Giant Doggebis and collect the Broom and 5 bottles of Blood of Blood of Big Handed. And then, give them to the one-armed man.|387:5,394:1",exact-normalized-name,0.911,,false,false,false,false,matched-agrees-on-parsed-fields,51,1232024,1,0
64,29,s3-2,Stage 2 — Lv 51-52: One-armed Man + Forsaken Fort,Lv 51-52,"Out of town, then Forsaken Fort (out of town).","Event Quest 23, 24 and 25 are all the same NPC (Doggebi Master at Forsaken Fort) — farm every Doggebi spirit type back to back before turning any of them in.",2,Event Quest 23,Event,23,Lv 52,52,"681,882 XP",681882,0,0,0,false,"[""ev7.png""]",[],"[{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Talk""},{""type"":""action"",""text"":""Find Spirit of Doggebi of Monster Face, Spirit of Doggebi with a Gong, Spirit of Drunken Doggebi""},{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,52,681882,0,0
65,29,s3-2,Stage 2 — Lv 51-52: One-armed Man + Forsaken Fort,Lv 51-52,"Out of town, then Forsaken Fort (out of town).","Event Quest 23, 24 and 25 are all the same NPC (Doggebi Master at Forsaken Fort) — farm every Doggebi spirit type back to back before turning any of them in.",3,Event Quest 24,Event,24,Lv 52,52,"681,882 XP",681882,0,0,0,false,"[""ev7.png""]",[],"[{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Talk""},{""type"":""action"",""text"":""Find Spirit of Doggebi with a Mask of Black Crow, Spirit of Doggebi with a Mask of Black Panther""},{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,52,681882,0,0
66,29,s3-2,Stage 2 — Lv 51-52: One-armed Man + Forsaken Fort,Lv 51-52,"Out of town, then Forsaken Fort (out of town).","Event Quest 23, 24 and 25 are all the same NPC (Doggebi Master at Forsaken Fort) — farm every Doggebi spirit type back to back before turning any of them in.",4,Event Quest 25,Event,25,Lv 52,52,"681,882 XP",681882,0,0,0,false,"[""ev7.png""]",[],"[{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Talk""},{""type"":""action"",""text"":""Find Spirit of Giant Doggebi, Spirit of Guardian of Doggebi""},{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,52,681882,0,0
67,29,s3-2,Stage 2 — Lv 51-52: One-armed Man + Forsaken Fort,Lv 51-52,"Out of town, then Forsaken Fort (out of town).","Event Quest 23, 24 and 25 are all the same NPC (Doggebi Master at Forsaken Fort) — farm every Doggebi spirit type back to back before turning any of them in.",5,Event Quest 26,Event,26,Lv 52,52,"681,882 XP",681882,0,0,0,false,[],"[""ms_m8_01.jpg"",""ms_m8_02.jpg"",""ms_m8_03.jpg"",""ms_m8_04.jpg"",""ms_m8_05.jpg"",""ms_m8_06.jpg"",""ms_m8_07.jpg""]","[{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Talk""},{""type"":""action"",""text"":""Kill 10 each of Doggebi of Monster Face, Doggebi with a Gong, Drunken Doggebi, Doggebi with a Mask of Black Crow, Doggebi with a Mask of Black Panther, Giant Doggebi, Guardian of Doggebi""},{""type"":""talk"",""city"":""wild"",""pin"":""m8"",""label"":""Kill Chief of Angry Doggebi Troop (1x)""},{""type"":""talk"",""city"":""wild"",""pin"":""p11"",""label"":""Turn in""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,52,681882,0,0
68,30,s3-3,Stage 3 — Lv 52-53: Manager’s errand + first Pub visit,Lv 52-53,"Out of town, then Fort → Pub of the Giant Bird.",,1,Quest 51,Quest,51,Lv 52,52,"~1,479,838 XP, 1 Contribution Point",1479838,0,1,0,true,"[""51.png"",""45-1.png""]","[""ms_m8_07.jpg""]","[{""type"":""talk"",""city"":""wildcargo"",""pin"":""p5"",""label"":""Talk""},{""type"":""action"",""text"":""Find \""Guardian of Doggebi’s Stone\"" and 5x \""Water Dragon Blood\"" from Guardian of Doggebi""},{""type"":""talk"",""city"":""wildcargo"",""pin"":""p5"",""label"":""Turn in""}]",Quest,51,Manager's Favor,route-number-to-legacy-name,53,Legend of the Oh-Do Canyon Bridge,52,1479838,1,0,,"Hunt the Guardian Doggebi and collect the Stone and 5 bottles of Blood of Water Dragon. And then, bring them to the manager near Oh-Do bridge.|388:5,395:1",registered-name-alias,1.000,,false,false,false,false,matched-agrees-on-parsed-fields,52,1479838,1,0
69,30,s3-3,Stage 3 — Lv 52-53: Manager’s errand + first Pub visit,Lv 52-53,"Out of town, then Fort → Pub of the Giant Bird.",,2,Quest 53,Quest,53,Lv 53,53,"~1,777,279 XP, 1 Contribution Point",1777279,0,1,0,true,"[""52.png""]","[""ms_m9_01.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""36"",""label"":""Talk""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Find 5x \""Skeleton Warrior’s Head\"" from Rotten Skeleton Warrior of the Royal Tomb""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Turn in""}]",Quest,52,The Dead People Around The Tomb(1),route-content-and-level-to-legacy-name,58,The Dead People Around The Tomb(1),53,1777279,1,0,,"Ja-Sang in Temporary Fort of Geum-Ohee Castle got a report about the Spirits of The Royal Tomb. Something is happening in the Royal Tomb, located southwest from The Pub of the Giant Bird. Meet the Tomb manager and find out what's happening in the Tomb.|;Gang-Man's job is to take care of the Royal Tomb but he escaped from the Tomb when the Spirits came out from the Tomb. He must seal them and return back to the Tomb. Help him to collect 5 Skeleton Warrior with Sword's Head.|432:5",exact-normalized-name,0.827,,false,false,false,false,matched-agrees-on-parsed-fields,53,1777279,1,0
70,31,s3-4,Stage 4 — Lv 54-57: Tomb Keeper grind chain begins,Lv 54-57,Pub of the Giant Bird — this NPC carries you for a while.,"Event Quest 30, 31, 32 and 33 plus Quest 56-59 all cycle through the same NPC — <b>Tomb Keeper [Gang-Man]</b> (pin 13) — stack them and grind Royal Tomb mobs together across this whole level range instead of turning in one at a time.",1,Quest 56,Quest,56,Lv 54,54,"~2,134,273 XP, 1 Contribution Point",2134273,0,1,0,true,"[""53.png""]","[""ms_m9_02.jpg""]","[{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Talk""},{""type"":""action"",""text"":""Find 5x \""Skeleton Warrior’s Ribs\"" from Rotten Skeleton Warrior of the Royal Tomb""},{""type"":""talk"",""city"":""pub"",""pin"":""13"",""label"":""Turn in""}]",Quest,53,The Dead People Around The Tomb(2),route-content-and-level-to-legacy-name,59,The Dead People Around The Tomb(2),54,2134273,1,0,58,The Skeleton Warriors with the Spears were the best fighters before they died. They keep the Tomb even after they died. Seal them and collect the 5 Ribs for Gang-Man.|433:5,exact-normalized-name,0.850,,false,false,false,false,matched-agrees-on-parsed-fields,54,2134273,1,0
71,31,s3-4,Stage 4 — Lv 54-57: Tomb Keeper grind chain begins,Lv 54-57,Pub of the Giant Bird — this NPC carries you for a while.,"Event Quest 30, 31, 32 and 33 plus Quest 56-59 all cycle through the same NPC — <b>Tomb Keeper [Gang-Man]</b> (pin 13) — stack them and grind Royal Tomb mobs together across this whole level range instead of turning in one at a time.",2,Event Quest 28,Event,28,Lv 54,54,"3,013,282 XP",3013282,0,0,0,false,[],"[""ms_m8_01.jpg"",""ms_m8_02.jpg"",""ms_m8_03.jpg"",""ms_m8_04.jpg"",""ms_m8_05.jpg""]","[{""type"":""talk"",""city"":""fort"",""pin"":""20"",""label"":""Talk""},{""type"":""action"",""text"":""Go to D1 and kill 20x each: Doggebi of Monster Face, Doggebi with a Gong, Drunken Doggebi, Doggebi with a Mask of Black Crow, Doggebi with a Mask of Black Panther""},{""type"":""talk"",""city"":""fort"",""pin"":""20"",""label"":""Talk again""}]",,,,no-confident-legacy-name,,,,,,,,,no-legacy-name,0.000,,,,,,no-bango-match,54,3013282,0,0
